Return,steps
-2.0,297.0
2.0,355.0
5.0,387.0
-4.0,333.0
12.0,451.0
-9.8,250.0
-9.8,250.0
-8.8,235.0
-7.8,270.0
0.0,274.0
-7.8,255.0
-8.8,230.0
-8.8,250.0
1.0,384.0
-8.8,250.0
-3.0,286.0
-1.0,303.0
-7.8,255.0
-2.0,261.0
-3.0,246.0
4.0,475.0
-8.8,255.0
-7.8,235.0
-8.8,250.0
-2.0,385.0
2.0,312.0
-8.8,230.0
-2.0,350.0
4.0,345.0
12.0,397.0
-8.8,250.0
4.0,300.0
-9.8,230.0
-9.8,250.0
-9.8,245.0
1.0,294.0
4.0,364.0
-1.0,400.0
-1.0,280.0
2.0,294.0
-8.8,250.0
3.0,495.0
-9.8,246.0
-7.8,250.0
7.0,458.0
-7.8,255.0
-3.0,261.0
6.0,338.0
-2.0,278.0
-9.8,250.0
8.0,287.0
-7.8,255.0
-1.0,415.0
-8.8,250.0
-7.8,255.0
-8.8,235.0
4.0,316.0
-8.8,235.0
-8.8,270.0
-9.8,250.0
2.0,306.0
3.0,330.0
9.0,344.0
-8.8,247.0
-4.0,271.0
2.0,429.0
-5.6,250.0
3.0,289.0
0.0,396.0
-1.0,231.0
-7.8,235.0
12.0,415.0
13.0,492.0
-9.8,257.0
6.0,401.0
7.0,313.0
-9.8,250.0
4.0,430.0
-8.8,257.0
2.0,278.0
-9.8,230.0
3.0,284.0
-7.8,250.0
5.399999999999999,365.0
-9.8,250.0
-8.8,235.0
0.0,306.0
0.0,381.0
-9.8,245.0
2.0,325.0
4.0,338.0
-8.8,250.0
-6.6,235.0
-4.0,307.0
-7.8,235.0
5.0,333.0
-9.8,230.0
3.0,331.0
-8.8,230.0
-8.8,250.0
2.0,315.0
4.0,325.0
7.0,413.0
-9.8,245.0
0.0,330.0
-7.8,235.0
1.0,358.0
2.0,287.0
-8.8,255.0
0.0,295.0
1.0,302.0
-1.0,246.0
-7.8,255.0
-9.8,230.0
-8.8,230.0
3.0,273.0
-1.0,339.0
-8.8,250.0
-8.8,230.0
-9.8,245.0
2.0,325.0
0.0,309.0
-9.8,230.0
-3.0,273.0
-9.8,250.0
1.0,325.0
3.0,321.0
14.0,512.0
1.0,396.0
-9.8,250.0
-9.8,230.0
-9.8,250.0
-7.8,235.0
1.0,255.0
1.0,302.0
-7.8,255.0
9.0,407.0
1.0,287.0
-3.0,408.0
-8.8,249.0
-9.8,245.0
-1.0,399.0
-9.8,246.0
-3.0,362.0
1.0,276.0
3.0,347.0
3.0,320.0
1.0,378.0
2.0,294.0
-1.0,298.0
-9.8,250.0
6.0,369.0
-1.0,275.0
8.0,402.0
-7.8,235.0
0.0,388.0
1.0,296.0
-8.8,250.0
1.0,262.0
8.0,403.0
-8.8,235.0
-8.8,230.0
7.0,359.0
6.0,388.0
-9.8,250.0
2.0,298.0
0.0,314.0
1.0,364.0
5.0,281.0
-8.8,250.0
3.0,326.0
-7.8,255.0
-9.8,245.0
0.0,296.0
-1.0,285.0
-7.8,235.0
-3.0,299.0
-8.8,230.0
3.0,243.0
-9.8,250.0
2.0,403.0
-8.8,250.0
5.0,316.0
-1.0,227.0
-2.0,275.0
0.0,330.0
-8.8,250.0
-3.0,265.0
-8.8,245.0
1.0,285.0
1.0,299.0
1.0,285.0
8.0,410.0
-2.0,350.0
1.0,350.0
-9.8,261.0
-9.8,230.0
2.0,307.0
4.0,368.0
2.0,293.0
-1.0,257.0
-9.8,245.0
6.0,402.0
-9.8,250.0
-9.8,245.0
-4.0,331.0
4.0,295.0
-8.8,235.0
-3.0,301.0
-8.8,235.0
2.0,283.0
-8.8,250.0
-8.8,250.0
-5.8,275.0
5.0,455.0
-7.8,250.0
-7.8,235.0
0.0,268.0
-9.8,230.0
1.0,318.0
-9.8,250.0
-8.8,250.0
8.0,393.0
-8.8,252.0
7.0,327.0
-3.0,312.0
3.0,281.0
-9.8,246.0
1.0,275.0
8.0,436.0
-1.0,295.0
-4.0,334.0
0.0,255.0
-9.8,250.0
-8.8,230.0
3.0,386.0
2.0,314.0
-7.8,255.0
-8.8,235.0
0.0,310.0
4.0,399.0
-9.8,250.0
-8.8,230.0
2.0,325.0
-8.8,235.0
-1.0,229.0
-9.8,237.0
4.0,378.0
7.0,310.0
-8.8,250.0
-9.8,230.0
1.0,267.0
-3.0,329.0
-9.8,230.0
-8.8,235.0
4.0,379.0
-9.8,250.0
-8.8,253.0
-2.0,255.0
-7.8,250.0
-9.8,245.0
6.0,369.0
24.0,512.0
3.0,399.0
-7.8,270.0
4.0,352.0
-9.8,250.0
10.0,355.0
-9.8,245.0
6.0,335.0
-7.8,235.0
-9.8,245.0
-2.0,350.0
2.0,353.0
7.0,445.0
0.0,293.0
-9.8,230.0
-8.8,245.0
-4.0,245.0
-2.0,274.0
2.0,295.0
-8.8,255.0
1.0,314.0
0.0,314.0
6.0,425.0
-9.8,230.0
-8.8,235.0
1.0,245.0
-9.8,245.0
1.0,243.0
2.0,293.0
-9.8,230.0
-8.8,235.0
21.0,512.0
-9.8,230.0
-1.0,269.0
-8.8,235.0
-2.0,292.0
3.0,318.0
-8.8,250.0
4.0,311.0
-9.8,275.0
-8.8,230.0
5.0,390.0
2.0,288.0
-8.8,245.0
-8.8,250.0
8.0,399.0
2.0,329.0
-9.8,256.0
-2.0,278.0
2.0,372.0
-9.8,245.0
12.0,387.0
-9.8,250.0
1.0,418.0
1.0,302.0
-2.0,328.0
2.0,334.0
7.0,364.0
-9.8,230.0
4.0,319.0
5.0,363.0
-1.0,258.0
-9.8,250.0
4.0,304.0
-2.0,277.0
6.0,408.0
-8.8,250.0
4.0,355.0
2.0,332.0
7.0,347.0
-8.8,235.0
-2.0,305.0
-8.8,235.0
-2.0,296.0
0.0,264.0
-9.8,245.0
0.0,445.0
-1.0,258.0
-8.8,250.0
-1.0,300.0
-9.8,245.0
4.0,327.0
-1.0,339.0
8.0,344.0
6.0,349.0
-1.0,350.0
-4.8,340.0
-1.0,277.0
-2.0,308.0
1.0,285.0
-9.8,245.0
-7.8,235.0
-9.8,245.0
15.0,460.0
5.0,374.0
1.0,330.0
3.0,344.0
7.0,358.0
-8.8,250.0
-8.8,230.0
11.0,396.0
-9.8,230.0
-7.8,235.0
-8.8,235.0
-9.8,245.0
-9.8,230.0
-8.8,250.0
-2.0,257.0
0.0,275.0
-7.8,255.0
-9.8,230.0
2.0,395.0
-8.8,255.0
-9.8,250.0
11.0,451.0
-2.0,304.0
0.0,367.0
