Return,steps
-9.8,230.0
-9.8,245.0
1.0,284.0
-9.8,230.0
-8.8,250.0
-7.8,255.0
-3.0,293.0
-3.0,255.0
-8.8,235.0
-8.8,230.0
0.0,415.0
-9.8,230.0
0.0,295.0
3.0,294.0
4.0,302.0
-7.8,255.0
1.0,283.0
-9.8,249.0
-8.8,245.0
0.0,344.0
-2.0,285.0
-7.8,235.0
-1.0,247.0
-7.8,235.0
-7.8,255.0
-7.8,270.0
-7.8,270.0
0.0,278.0
-9.8,250.0
3.0,348.0
-1.0,270.0
-5.8,225.0
-8.8,250.0
-8.8,267.0
-1.0,330.0
-7.8,235.0
4.0,285.0
17.0,512.0
-8.8,235.0
28.0,512.0
5.0,326.0
2.0,257.0
-8.8,235.0
-7.8,235.0
-8.8,250.0
3.0,289.0
-1.0,280.0
-9.8,250.0
-9.8,245.0
2.0,338.0
-1.8000000000000007,357.0
-7.8,250.0
-2.8,283.0
4.0,323.0
3.0,350.0
-7.8,235.0
9.0,411.0
-8.8,235.0
1.0,365.0
8.0,466.0
3.0,305.0
2.0,295.0
-8.8,235.0
-8.8,250.0
4.0,345.0
3.0,357.0
2.0,250.0
-1.0,299.0
-8.8,245.0
5.0,347.0
-8.8,235.0
-9.8,250.0
-8.8,235.0
-8.8,230.0
-8.8,250.0
-9.8,245.0
2.0,326.0
10.0,393.0
-1.0,386.0
6.0,435.0
3.0,351.0
-9.8,230.0
-5.8,302.0
2.0,315.0
-8.8,250.0
2.0,354.0
-9.8,250.0
-8.8,245.0
-8.8,235.0
-1.0,290.0
-9.8,230.0
-3.0,285.0
8.0,382.0
1.0,290.0
-8.8,250.0
4.0,325.0
1.0,315.0
8.0,385.0
-9.8,250.0
-8.8,230.0
3.0,435.0
4.0,464.0
4.0,335.0
5.0,416.0
-9.8,250.0
4.0,427.0
1.0,365.0
0.0,250.0
1.0,271.0
1.0,282.0
6.0,278.0
6.0,386.0
4.0,355.0
-9.8,230.0
5.0,341.0
7.0,365.0
7.0,400.0
2.0,265.0
5.0,387.0
3.0,397.0
0.0,265.0
-8.8,235.0
4.0,336.0
6.0,391.0
7.0,427.0
0.0,296.0
4.0,356.0
1.0,435.0
-8.8,250.0
-8.8,250.0
4.0,333.0
-8.8,250.0
-2.0,247.0
-2.0,293.0
6.0,416.0
-9.8,250.0
-1.0,307.0
4.0,443.0
3.0,409.0
-7.8,250.0
-7.8,235.0
0.0,302.0
-7.8,235.0
-8.8,255.0
5.0,387.0
-7.8,235.0
-8.8,235.0
-1.0,292.0
-8.8,241.0
