Return,steps
282,0.2599999999999998,360.8
283,-4.279999999999999,293.0
284,-1.0400000000000003,331.9
285,-1.8400000000000003,292.9
286,1.44,325.6
287,-3.4200000000000004,289.1
288,-1.9200000000000004,289.6
289,-1.1200000000000003,310.6
290,-4.4,268.4
291,-0.8200000000000003,303.6
292,-1.2400000000000002,305.9
293,-1.5200000000000002,311.4
294,-5.659999999999999,263.2
295,-1.9800000000000004,315.5
296,-0.2400000000000002,331.4
297,-1.3000000000000003,308.5
298,-1.6400000000000001,312.2
299,-6.26,254.8
300,-1.4200000000000004,287.4
301,-0.3400000000000002,328.8
302,-2.3200000000000003,290.9
303,-2.66,277.9
304,-4.3,281.0
305,-2.3200000000000003,294.1
306,-0.9600000000000002,310.8
307,-2.8200000000000003,305.9
308,-2.0200000000000005,307.9
309,-5.08,270.3
310,-1.9600000000000002,300.3
311,-1.86,298.7
312,-0.16000000000000014,332.8
313,1.3199999999999998,333.9
314,-1.6200000000000003,309.1
315,-0.1400000000000002,308.1
316,-0.5200000000000002,296.1
317,-5.08,282.9
318,-2.5000000000000004,298.1
319,-3.0200000000000005,284.4
320,-4.68,274.5
321,-1.9400000000000002,320.6
322,-4.4799999999999995,281.8
323,0.1,321.5
324,-1.5400000000000003,303.3
325,-1.5400000000000003,317.3
326,-2.6000000000000005,288.0
327,-3.8,294.9
328,-1.4,297.2
329,-1.1200000000000003,305.3
330,-4.3,275.5
331,-3.0,289.5
332,-4.1,289.4
333,-4.779999999999999,268.6
334,-1.7400000000000002,288.4
335,-1.8200000000000003,336.2
336,-1.9400000000000002,295.7
337,-2.64,290.1
338,-0.9000000000000004,326.8
339,-4.4799999999999995,262.4
340,2.76,325.4
341,-2.5200000000000005,288.8
342,-5.159999999999999,273.7
343,-2.22,291.0
344,-4.18,285.3
345,1.3399999999999999,347.6
346,-1.5000000000000004,311.6
347,-2.8200000000000003,283.7
348,-0.8600000000000001,324.2
349,-2.0200000000000005,294.1
350,-4.2,263.6
351,-3.1800000000000006,274.1
352,-4.08,274.8
353,-6.139999999999999,256.2
354,-4.38,285.8
355,-1.8000000000000003,287.6
356,0.6199999999999999,340.4
357,-1.4600000000000002,316.4
358,-5.9399999999999995,265.5
359,-0.10000000000000035,333.9
360,-1.0000000000000004,319.2
361,-3.12,280.4
362,-0.08000000000000007,330.2
363,-1.3200000000000003,295.1
364,-0.7200000000000003,306.8
365,1.22,333.4
366,1.02,341.2
367,-3.72,282.3
368,-5.359999999999999,275.1
369,-0.7400000000000002,306.6
370,-4.959999999999999,270.7
371,-1.56,302.3
372,-3.6,288.1
-3.2,273.42857142857144
